Cruise,Station,Type,yyyy-mm-ddThh:mm:ss.sss,Longitude [degrees_east],Latitude [degrees_north],Dummy,depth [m],latitude [degrees_north],longitude [degrees_east],time [hours since 1950-01-01 00:00:00],uo [m s-1],vo [m s-1]
global-analysis-forecast-phy-001-024_1650864290144.nc,191,B,2022-04-01T12:00:00,98.33334,1.33333,0,0.49402,1.33333,98.33334,633324,-0.012207,-0.143437
global-analysis-forecast-phy-001-024_1650864290144.nc,192,B,2022-04-01T12:00:00,98.41666,1.33333,0,0.49402,1.33333,98.41666,633324,-0.031129,-0.150761
global-analysis-forecast-phy-001-024_1650864290144.nc,193,B,2022-04-01T12:00:00,98.5,1.33333,0,0.49402,1.33333,98.5,633324,-0.041505,-0.160527
global-analysis-forecast-phy-001-024_1650864290144.nc,194,B,2022-04-01T12:00:00,98.58334,1.33333,0,0.49402,1.33333,98.58334,633324,-0.034791,-0.174566
global-analysis-forecast-phy-001-024_1650864290144.nc,195,B,2022-04-01T12:00:00,98.66666,1.33333,0,0.49402,1.33333,98.66666,633324,-0.010376,-0.187384
global-analysis-forecast-phy-001-024_1650864290144.nc,196,B,2022-04-01T12:00:00,98.75,1.33333,0,0.49402,1.33333,98.75,633324,0.004883,-0.191046
global-analysis-forecast-phy-001-024_1650864290144.nc,197,B,2022-04-01T12:00:00,98.83334,1.33333,0,0.49402,1.33333,98.83334,633324,0.003662,-0.16541
global-analysis-forecast-phy-001-024_1650864290144.nc,202,B,2022-04-01T12:00:00,97.58334,1.41667,0,0.49402,1.41667,97.58334,633324,0.08179,-0.218513
global-analysis-forecast-phy-001-024_1650864290144.nc,203,B,2022-04-01T12:00:00,97.66666,1.41667,0,0.49402,1.41667,97.66666,633324,0.064089,-0.226447
global-analysis-forecast-phy-001-024_1650864290144.nc,204,B,2022-04-01T12:00:00,97.75,1.41667,0,0.49402,1.41667,97.75,633324,0.054933,-0.215461
global-analysis-forecast-phy-001-024_1650864290144.nc,205,B,2022-04-01T12:00:00,97.83334,1.41667,0,0.49402,1.41667,97.83334,633324,0.043947,-0.19837
global-analysis-forecast-phy-001-024_1650864290144.nc,206,B,2022-04-01T12:00:00,97.91666,1.41667,0,0.49402,1.41667,97.91666,633324,0.035401,-0.18189
global-analysis-forecast-phy-001-024_1650864290144.nc,207,B,2022-04-01T12:00:00,98.0,1.41667,0,0.49402,1.41667,98.0,633324,0.028687,-0.1648
